cow,date,hour,IN_ALLEYS,REST,EAT,ACTIVITY_LEVEL,oestrus,calving,lameness,mastitis,LPS,acidosis,other_disease,accidents,disturbance,mixing,management_changes,OK
6613,2019-01-07,11,956.671,676.542,1966.781,823.51072,0,0,0,0,0,NA,0,0,1,1,0,0
6601,2018-10-29,16,2384.993,965.34,249.661,264.4283,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-29,17,752.482,694.105,2100.253,842.85923,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-29,21,2593.448,864.496,0,216.1176,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-07,10,2714.978,567.894,316.032,436.5143,0,0,0,0,0,NA,0,0,1,1,0,0
6601,2018-10-29,22,1979.599,1620.395,0,-55.95501,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-07,0,661.347,2587.86,0,-489.39228,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-07,1,339.884,2743.551,0,-576.63529,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-07,2,385.319,3116.837,0,-655.22147,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-07,3,387.414,2971.071,18.587,-613.55355,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-07,4,384.858,2846.156,0,-593.0386,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-07,5,442.812,3052.788,2.183,-630.37446,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-07,6,2373.373,1171.376,25.711,121.12182,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-07,7,2662.371,267.013,658.033,640.94023,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-07,8,1034.897,841.081,1685.749,680.14947,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-08,19,431.276,3147.947,20.771,-646.29983,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-08,20,755.395,2844.599,0,-533.39457,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-08,21,38.244,3561.75,0,-813.08346,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-07,12,662.739,2937.255,0,-569.53041,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-07,13,1339.297,1499.782,754.896,186.39398,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-07,14,2809.846,116.564,673.584,705.67092,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-07,15,3386.603,213.391,0,492.77655,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-07,16,3014.673,69.483,515.838,683.01855,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-07,17,939.83,536.601,2123.563,918.85103,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-07,18,863.835,2152.937,583.222,-112.00867,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-07,19,138.812,3461.182,0,-773.86194,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-07,20,1282.679,2185.65,131.665,-242.17156,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-07,21,688.144,2857.208,54.642,-524.10516,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-07,22,1680.019,205.942,1714.033,941.33024,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-07,23,2232.387,1367.607,0,42.63231,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-08,0,1815.477,1784.517,0,-119.96259,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-08,1,1483.635,2075.357,17.491,-232.60429,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-08,2,3209.913,268.775,121.306,502.71635,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-08,3,637.134,2925.692,37.168,-555.35716,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-08,4,202.683,3397.311,0,-748.95225,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-08,5,905.376,2694.618,0,-474.90198,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-08,6,1495.325,1878.943,225.726,-98.09997,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-08,7,3422.906,7.65,169.438,617.06942,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-08,8,789.419,1956.438,854.137,35.06384,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-08,9,902.712,463.599,2233.683,975.95301,0,0,0,0,0,NA,0,0,0,0,0,1
6750,2018-12-03,13,1874.983,901.337,823.674,438.63285,0,0,0,0,0,NA,0,0,1,1,0,0
6750,2018-12-03,14,1812.567,1518.607,268.82,53.63551,0,0,0,0,0,NA,0,0,1,1,0,0
6750,2018-12-03,15,1966.71,1627.744,5.54,-57.38072,0,0,0,0,0,NA,0,0,1,1,0,0
6750,2018-12-03,16,1966.364,67.627,1566.003,956.78529,0,0,0,0,0,NA,0,0,1,1,0,0
6750,2018-12-03,17,1136.041,1201.636,1262.317,435.56342,0,0,0,0,0,NA,0,0,1,1,0,0
6750,2018-12-03,18,721.852,2712.29,158.593,-441.72132,0,0,0,0,0,NA,0,0,1,1,0,0
6750,2018-12-03,19,2276.679,587.742,735.573,538.02864,0,0,0,0,0,NA,0,0,1,1,0,0
6750,2018-12-03,20,763.786,2836.208,0,-530.12208,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-08,10,607.328,1221.43,1771.236,560.1627,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-08,11,40.42,3559.574,0,-812.23482,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-08,12,987.924,1147.276,1464.794,509.40784,0,0,0,0,0,NA,0,0,1,0,0,1
6613,2019-01-08,13,870.892,1238.283,1490.819,480.68161,0,0,0,0,0,NA,0,0,0,0,0,1
6750,2018-12-03,0,1527.465,1957.413,113.438,-158.16663,0,0,0,0,0,NA,0,0,1,1,0,0
6750,2018-12-03,1,1889.555,1710.439,0,-91.07217,0,0,0,0,0,NA,0,0,1,1,0,0
6750,2018-12-03,2,2649.319,941.186,9.489,211.40364,0,0,0,0,0,NA,0,0,1,1,0,0
6750,2018-12-03,3,1590.299,1962.182,47.513,-176.89856,0,0,0,0,0,NA,0,0,1,1,0,0
6750,2018-12-03,4,1005.802,2540.59,53.602,-400.89454,0,0,0,0,0,NA,0,0,1,1,0,0
6750,2018-12-03,5,1261.088,762.254,1576.652,688.6495,0,0,0,0,0,NA,0,0,1,1,0,0
6750,2018-12-03,6,2127.195,796.351,669.181,438.24649,0,0,0,0,0,NA,0,0,1,1,0,0
6750,2018-12-03,7,2418.15,186.668,995.176,761.94428,0,0,0,0,0,NA,0,0,1,1,0,0
6750,2018-12-03,8,870.661,364.363,2364.97,1048.78967,0,0,0,0,0,NA,0,0,1,1,0,0
6750,2018-12-03,9,1184.915,2287.138,127.941,-282.72012,0,0,0,0,0,NA,0,0,1,1,0,0
6750,2018-12-03,10,959.022,453.193,2187.779,968.07631,0,0,0,0,0,NA,0,0,1,1,0,0
6750,2018-12-03,11,661.626,2172.684,765.684,-72.26988,0,0,0,0,0,NA,0,0,1,1,0,0
6750,2018-12-03,12,905.426,676.774,2017.794,836.68362,0,0,0,0,0,NA,0,0,1,1,0,0
6750,2018-12-03,21,942.568,1288.688,1368.738,429.2826,0,0,0,0,0,NA,0,0,1,1,0,0
6750,2018-12-03,22,1229.44,89.953,2280.601,1133.87363,0,0,0,0,0,NA,0,0,1,1,0,0
6750,2018-12-03,23,2999.112,593.068,7.814,346.73416,0,0,0,0,0,NA,0,0,1,1,0,0
6750,2018-12-04,0,2601.294,979.713,18.987,198.84759,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-08,14,992.745,2607.249,0,-440.82807,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-08,15,2361.389,175.454,1063.151,783.99124,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-08,16,1495.357,73.226,2031.411,1075.60776,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-08,17,349.683,1691.51,1558.801,321.5984,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-08,18,327.511,3272.483,0,-700.26933,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-09,3,211.012,3388.982,0,-745.70394,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-09,4,657.503,2942.491,0,-571.57245,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-09,5,541.984,3058.01,0,-616.62486,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-09,6,1875.512,1626.639,97.843,-32.95099,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-09,7,3197.773,47.007,355.214,650.02195,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-09,8,1332.645,1426.858,840.491,238.05208,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-09,9,439.275,820.441,2340.278,864.49933,0,0,0,0,0,NA,0,0,1,1,0,0
